Azure AI Fundamentals - Training Schedule,,,,,,,,
Training Unit/Chapter,,Sessions,Content,Learning Objectives,Delivery Type,Duration (mins),Training Format,"Training Materials / Logistics & General Notes
(Required, For Reference, etc.)"
,"Workshop #0: Course Introduction
",1,"- Introduction to the course content
- Introduction to learning materials and resources
- Guidance on learning methods and study approach
- Overview of the learning roadmap
- Overview of the AI-900 certification exam",H5AI,Seminar/Workshop,30.00,Virtual training,Slide: 0_Course_Introduction
,Overview of AI concepts,1,Overview of AI concepts,K1AI,Concept/Lecture,45.00,Online,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/
,"Workshop #1: Introduction to AI
",1,"- Define Artificial Intelligence (AI) and its importance
- Distinguish between AI, Machine Learning (ML), and Deep Learning (DL)
- Identify common AI workloads and real-world use cases
- Recognize the impact and potential of AI in business and society",K1AI,Seminar/Workshop,45.00,Virtual training,Slide: 1_Introduction_to_AI
,"Workshop #1: Introduction to AI
",1,"- Define Artificial Intelligence (AI) and its importance
- Distinguish between AI, Machine Learning (ML), and Deep Learning (DL)
- Identify common AI workloads and real-world use cases
- Recognize the impact and potential of AI in business and society",K1AI,Guides/Review,45.00,Virtual training,Slide: 1_Introduction_to_AI
,Sefl-study: Introduction to AI,1,Sefl-study: Introduction to AI,K1AI,Assignment/Lab,120.00,Offline,"1. Tài liệu chính thức từ Microsoft:
- Microsoft Learn: https://learn.microsoft.com/training/paths/get-started-with-artificial-intelligence-on-azure/
- Azure Portal dùng để thực hành (cần chờ tài khoản từ IT cấp, hoặc tự tạo tài khoản cá nhân, sử dụng tài khoản sinh viên nếu có): https://portal.azure.com
- Link bài Practice Assessment for Exam AI-900: Microsoft Azure AI Fundamentals: https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-fundamentals/practice/assessment?assessment-type=practice&assessmentId=26&practice-assessment-type=certification
2. Link khóa học online:
- Linkedin (lý thuyết): https://www.linkedin.com/learning/microsoft-azure-ai-fundamentals-ai-900-cert-prep-by-microsoft-press?u=441943138
- Linkedin (thi thử): https://www.linkedin.com/learning/practice-exam-1-for-azure-ai-fundamentals-ai-900?u=441943138
- Linkedin (thi thử): https://www.linkedin.com/learning/practice-exam-2-for-azure-ai-fundamentals-ai-900?u=441943138
- Youtube: search với từ khóa ""AI-900""
 
3. Tài liệu nội bộ khóa học: https://fptsoftware362-my.sharepoint.com/:f:/r/personal/thaott29_fpt_com/Documents/Kh%C3%B3a%20h%E1%BB%8Dc%20Azure%20AI%20Fundamentals%20(AI-900)/T%C3%A0i%20li%E1%BB%87u%20kh%C3%B3a%20h%E1%BB%8Dc?csf=1&web=1&e=fPhsta
- Slides: Bản HTML (trong các buổi workshop) và bản PDF (xuất từ HTML)
- Text books: eBook về các chủ đề có liên quan, dành cho bạn nào muốn tìm hiểu sâu cho từng vấn đề cụ thể
- Notebooks: File tóm tắt sau mỗi workshop
- Dumps: Bộ câu hỏi luyện tập tương tự đề thi thật"
,Get started with AI in Microsoft Foundry,2,Get started with AI in Microsoft Foundry,K1AI,Concept/Lecture,45.00,Online,https://learn.microsoft.com/en-gb/training/modules/get-started-ai-in-foundry/
,Lab: Get started with AI in Microsoft Foundry,2,Get started with AI in Microsoft Foundry,H1AI,Assignment/Lab,60.00,Online,https://learn.microsoft.com/en-gb/training/modules/get-started-ai-in-foundry/
,Workshop #2: Azure AI Fundamentals,2,"- Identify and describe the main Azure AI services and their use cases
- Understand how to choose the right AI service for different business scenarios",K1AI,Seminar/Workshop,60.00,Virtual training,Slide: 2_Azure_AI_Fundamentals
,Workshop #2: Azure AI Fundamentals,2,"- Identify and describe the main Azure AI services and their use cases
- Understand how to choose the right AI service for different business scenarios",K1AI,Guides/Review,60.00,Virtual training,Slide: 2_Azure_AI_Fundamentals
,Sefl-study: Azure AI Fundamentals,2,Sefl-study: Azure AI Fundamentals,H1AI,Assignment/Lab,120.00,Offline,"1. Tài liệu chính thức từ Microsoft:
- Microsoft Learn: https://learn.microsoft.com/training/paths/get-started-with-artificial-intelligence-on-azure/
- Azure Portal dùng để thực hành (cần chờ tài khoản từ IT cấp, hoặc tự tạo tài khoản cá nhân, sử dụng tài khoản sinh viên nếu có): https://portal.azure.com
- Link bài Practice Assessment for Exam AI-900: Microsoft Azure AI Fundamentals: https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-fundamentals/practice/assessment?assessment-type=practice&assessmentId=26&practice-assessment-type=certification
2. Link khóa học online:
- Linkedin (lý thuyết): https://www.linkedin.com/learning/microsoft-azure-ai-fundamentals-ai-900-cert-prep-by-microsoft-press?u=441943138
- Linkedin (thi thử): https://www.linkedin.com/learning/practice-exam-1-for-azure-ai-fundamentals-ai-900?u=441943138
- Linkedin (thi thử): https://www.linkedin.com/learning/practice-exam-2-for-azure-ai-fundamentals-ai-900?u=441943138
- Youtube: search với từ khóa ""AI-900""
 
3. Tài liệu nội bộ khóa học: https://fptsoftware362-my.sharepoint.com/:f:/r/personal/thaott29_fpt_com/Documents/Kh%C3%B3a%20h%E1%BB%8Dc%20Azure%20AI%20Fundamentals%20(AI-900)/T%C3%A0i%20li%E1%BB%87u%20kh%C3%B3a%20h%E1%BB%8Dc?csf=1&web=1&e=fPhsta
- Slides: Bản HTML (trong các buổi workshop) và bản PDF (xuất từ HTML)
- Text books: eBook về các chủ đề có liên quan, dành cho bạn nào muốn tìm hiểu sâu cho từng vấn đề cụ thể
- Notebooks: File tóm tắt sau mỗi workshop
- Dumps: Bộ câu hỏi luyện tập tương tự đề thi thật"
